id,1m2f,age,flanders,WJ_LW_ID,WJ_RF_Cor,WJ_RF_Inc,WJ_RF_Tot,WJ_PC,WJ_WA,WJ_RV_Syn,WJ_RV_Ant,WJ_RV_Ana,WJ_RV_Tot,WJ_Tot,CC_Reg,CC_Irr,CC_Non,CC_Tot,MR_Raw,MR_Scaled,SS_Raw,SS_Scaled,SS_Time_Taken (Secs),PAL_PatternsReached,PAL_PatternsSucceededOn,PAL_MeanErrorsSuccess_Raw,PAL_MeanErrorsSuccess_Standard,PAL_MeanTrialsSuccess_Raw,PAL_MeanTrialsSuccess_Standard,PAL_StagesCompleted_Raw,PAL_StagesCompleted_Standard,PAL_TotalErrors_Raw,PAL_TotalErrors_Standard,PAL_TotalTrials_Raw,PAL_TotalTrials_Standard,SSP_SpanLength_Raw,SSP_SpanLength_Standard,w_p1a_f_l,w_p1a_f_r,w_p1a_d_l,w_p1a_d_r,w_p1l_f_l,w_p1l_f_r,w_p1l_d_l,w_p1l_d_r,w_n1a_f_l,w_n1a_f_r,w_n1a_d_l,w_n1a_d_r,w_n1l_f_l,w_n1l_f_r,w_n1l_d_l,w_n1l_d_r,w_p3a_f_l,w_p3a_f_r,w_p3a_d_l,w_p3a_d_r,w_p3l_f_l,w_p3l_f_r,w_p3l_d_l,w_p3l_d_r,w_sla_f_l,w_sla_f_r,w_sla_d_l,w_sla_d_r,l_p1a_f_l,l_p1a_f_r,l_p1a_d_l,l_p1a_d_r,l_p1l_f_l,l_p1l_f_r,l_p1l_d_l,l_p1l_d_r,l_n1a_f_l,l_n1a_f_r,l_n1a_d_l,l_n1a_d_r,l_n1l_f_l,l_n1l_f_r,l_n1l_d_l,l_n1l_d_r,l_p3a_f_l,l_p3a_f_r,l_p3a_d_l,l_p3a_d_r,l_p3l_f_l,l_p3l_f_r,l_p3l_d_l,l_p3l_d_r,l_sla_f_l,l_sla_f_r,l_sla_d_l,l_sla_d_r
1,1,8.18,4,43,26,1,25,24,15,4,8,8,20,127,26,13,11,50,27,17,29,16,120,8,8,0.38,0.74,1.25,0.62,8,0.19,3,0.78,10,0.66,7,1.78,12.54875737,12.78820832,10.83415127,10.973747,126.5,106.5,118,100,7.330806936,-3.055599355,6.767869857,0.731022512,197.5,201,193.5,208,16.08055803,15.54625824,19.56881127,21.7672919,375.5,376,308.5,310,11.13831188,8.065006333,16.56820679,15.67669227,7.008924229,14.22637417,15.34521364,21.25388282,67.5,148,136,110,14.16342755,12.30901076,17.862702,20.94208957,226.5,219,214,221.5,21.13709004,15.68809627,27.3554346,34.85463802,371,344,303.5,307,28.98719582,23.55501751,33.77503382,30.70476111
2,2,10.49,8,43,46,2,44,23,17,12,14,6,32,159,29,21,14,64,16,7,23,9,120,8,8,0.38,0.59,1.12,0.83,8,999,3,0.59,9,0.83,5,-0.33,10.25713719,3.848943974,3.924125828,1.950423149,98.5,97.5,94,91.5,-25.35031649,-25.68066365,-30.11216212,-20.98175295,171.5,171,167,168,1.202789556,2.74510709,0.676546632,1.874878267,301.5,303.5,303.5,306.5,-4.733570107,-0.914185784,-4.64264942,-2.249933272,12.50570375,8.978546499,14.57942525,10.07874363,106,104,102,100,-24.66576605,-23.35423577,-20.98829313,-17.64134967,185.5,185.5,183.5,170,3.488598988,1.929273652,3.616519157,5.18246091,331.5,331.5,320.5,329,-3.723428121,-2.508638813,-4.554964554,0.422449602
3,2,12.24,-4,64,89,0,89,33,27,17,17,13,47,260,40,33,32,105,24,10,26,9,120,8,8,0,1.19,1,1.48,8,999,0,1.19,8,1.45,7,0.51,6.012388118,7.57564738,6.347463947,7.430683014,100,103,101,104,-5.107608185,-5.166508395,-8.053822446,-8.741385143,165,179.5,174.5,184.5,2.169695347,0.211381601,4.163603458,1.610001547,303.5,381.5,413.5,419.5,-0.378433202,2.866109281,-1.605262992,0.786866359,6.833359022,9.077969863,11.25457074,11.91385416,108,110,107,109.5,-2.866711796,-1.249974945,-0.036284483,-1.342023171,168,188,181.5,192.5,5.428850667,2.825258318,7.510167286,4.530211297,319,321,313.5,330.5,-0.055140837,6.765666075,0.910616725,2.847796242
4,2,13.33,9,41,30,1,29,30,11,9,8,11,28,139,32,18,25,75,18,6,27,9,120,8,8,1.25,-0.67,1.25,0.39,8,999,10,-0.67,10,0.39,6,-0.28,3.166636877,0.503477166,-1.531802211,1.424652694,83.5,89,98.5,94.5,3.867798753,-6.269907524,-9.66158272,-22.60942229,213.5,211.5,214,206,9.272669629,10.21419241,4.950037756,3.948229657,345,341,317.5,323,9.492529978,7.307391306,-0.222888155,-4.939790037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,11.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,9.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,12.28,9,68,97,1,96,36,32,19,18,12,49,281,40,35,40,115,32,16,30,11,120,8,8,0,1.19,1,1.48,8,999,0,1.19,8,1.45,8,1.3,17.98057969,14.78405814,22.32093507,16.7438211,104.5,96,109,106,23.02812114,9.398943454,28.14549994,8.833797739,150,168,153.5,175.5,25.67333251,23.82760044,32.4967468,28.01825406,383,311,369.5,306,12.17935087,8.954237892,12.38945829,8.840216449,12.3658155,9.931105105,18.615834,13.40531763,113,124.5,128,133,12.05354727,2.928049656,21.08515925,8.536111465,179,193,179.5,195.5,21.80024194,21.96035778,29.22194178,27.06188508,339,342,323.5,338.5,8.018133032,8.511475102,9.924503412,8.643200765
8,1,11.49,10,66,57,0,57,35,28,18,15,14,47,233,39,27,37,103,29,14,32,13,120,8,8,0.5,0.5,1.12,0.83,8,999,4,0.5,9,0.83,5,-0.33,7.641036184,3.702254438,8.213929994,3.078179574,98,96,96.5,95.5,0.515357018,-0.854877717,-1.482934517,-3.512607604,243,242.5,240,237.5,19.37314943,15.40250477,23.76024823,21.036753,342,350,349,345,23.64838177,24.70054687,18.28452851,20.17095698,8.268507737,5.366633833,7.294296328,5.361331172,98.5,106,101,101.5,-1.362676985,-8.661605782,2.496451072,-4.775160834,155.5,157.5,152,230,22.78774215,17.92032179,25.47344346,22.61801724,320,375,374,439,15.78760689,17.8683358,15.46636135,17.46538909
9,2,9.83,10,52,40,0,40,30,17,13,13,10,36,175,36,24,31,91,23,11,26,12,120,8,8,0.25,0.84,1.12,0.94,8,0.19,2,0.88,9,1.01,7,2.16,2.274313359,10.93969909,2.989852711,15.28684959,71,82.5,126,115.5,-17.0263223,-5.4679561,-17.2861311,-2.60376643,209.5,210,198,207,-2.610792007,0.671958047,-3.088742995,-1.87901883,364.5,313.5,388.5,374.5,5.799486948,5.25178721,4.91658529,4.444830252,5.964808649,17.32511414,9.294973364,17.43409605,109.5,96.5,113.5,99,-8.415367472,5.799710919,-0.620091186,7.200146768,160,155.5,161,154.5,17.76623612,22.36221191,24.3056556,26.76104229,418.5,324.5,415.5,327,12.31081635,13.51334403,13.44888557,12.74503702
10,2,12,8,57,49,1,48,29,23,14,15,10,39,196,35,27,26,88,20,8,23,8,120,8,8,0.5,0.45,1.12,0.93,8,999,4,0.45,9,0.92,5,-1.06,14.39188771,12.74972935,14.20848619,14.98374307,99,98.5,100.5,100.5,-0.935350734,4.442768654,2.966854519,9.403920597,188,204,182.5,192.5,7.676169902,9.269924547,10.31637933,11.77720997,404,385.5,397.5,390,1.465771418,4.454928258,2.896790518,5.697685759,15.58850072,15.86318323,15.54213092,17.82590758,99,97.5,100,98.5,6.750288945,9.661903444,6.519100173,11.03673689,196.5,193,190.5,194.5,14.9118076,14.86025006,11.56054421,12.7121629,378,370,403,371,9.613803381,11.40984573,5.719420176,6.42740569
11,2,8.77,5,54,40,0,40,24,26,8,8,6,22,166,36,26,26,88,13,7,16,8,120,8,8,1.25,0.08,1.38,0.31,8,0.19,10,0.06,11,0.31,3,-2.84,1.602121035,4.113192202,1.844519732,-1.68522393,142,116.5,120.5,107,-14.84470391,-24.30639249,-24.04290148,-21.87088926,218.5,215.5,175,214,-4.109685916,-18.75837654,-7.38821764,-14.33305928,317.5,310,320.5,348,7.991324537,14.39821121,3.46283979,-7.097322504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,11.96,10,59,48,1,47,28,23,16,10,9,35,192,36,26,31,93,22,9,32,13,120,8,8,3.5,-1.17,1.88,-0.92,8,999,28,-1.7,15,-0.92,8,1.77,16.98868933,10.88195563,15.16184644,8.367346658,95,142,102.5,133,11.91098991,6.758081262,5.109918404,5.479228188,183,189.5,189.5,190.5,17.85430554,18.68124709,14.21848696,17.3151986,422.5,416.5,450,433,24.08790752,25.23956195,24.50965027,28.76390011,14.44991616,8.938050949,19.79291252,11.15784247,104.5,101.5,103,136,5.675105763,6.640516104,10.67880143,8.297888647,187.5,184.5,176.5,172.5,11.6910439,13.79048587,11.45163945,12.82952847,432,428,379,429,9.721973228,10.13719857,7.856268476,8.185558662
13,1,10.9,10,65,51,1,50,32,30,15,13,11,39,216,40,35,32,107,26,13,15,6,120,8,8,0.5,0.5,1.38,0.24,8,999,4,0.5,11,0.25,5,-0.33,14.18632615,17.97676431,21.29644281,23.71705857,112.5,111,124.5,109.5,-3.446112719,-26.33615432,0.185191596,-16.30665783,190,196,203.5,200.5,11.33340168,-0.823091138,16.64729141,16.22415514,435,440,300.5,415.5,9.9102759,15.11415329,-1.15675633,0.375497914,22.05049998,33.24414509,17.612177,16.54778842,135,134.5,130,120.5,11.37990765,-0.060744326,-13.30899782,-25.15860717,219.5,240.5,193.5,198.5,40.32551455,38.1400737,23.97221029,29.41526206,336,323,378.5,443.5,54.2372973,57.06133129,9.851010667,20.80827185
14,1,11.33,-2,49,36,0,36,26,12,11,12,9,32,155,32,19,25,76,16,6,21,8,120,8,8,1,0.13,1.38,0.24,8,999,8,0.13,11,0.25,6,0.37,14.36727034,13.86835665,13.76237291,13.15511625,92,90.5,99.5,98,2.554200748,0.233901796,-2.186026583,-2.641187244,154.5,159,167.5,165.5,14.28672928,12.79216881,12.84352,12.08484268,312.5,327,315.5,317,17.14776683,21.53337209,18.09778327,19.98606367,20.26906833,20.00478866,-6.653161722,-6.298235827,101.5,82,100.5,100,6.79410269,-1.343577797,-27.7655456,-29.5631329,193.5,183,222,182,12.64504928,18.91779875,7.328618925,3.46939734,415,412,322,323,27.85458742,35.68907332,8.988154503,9.751212128
