ID,TFCR_L,TFIR_L,TFNR_L,TDCR_L,TDIR_L,TDNR_L,NFCR_L,NFIR_L,NFNR_L,NDCR_L,NDIR_L,NDNR_L,Total_L,TFCR_W,TFIR_W,TFNR_W,TDCR_W,TDIR_W,TDNR_W,NFCR_W,NFIR_W,NFNR_W,NDCR_W,NDIR_W,NDNR_W,Total_W
1,21,8,16,16,9,23,33,8,35,30,9,32,240,14,21,9,18,16,14,55,4,15,2,2,17,187
2,36,7,2,44,4,0,59,9,6,58,5,8,238,24,3,17,17,2,29,28,1,47,32,2,37,239
3,32,15,6,36,14,7,52,15,17,56,7,11,268,31,10,9,39,12,7,56,3,16,9,9,14,215
4,25,1,17,28,4,16,22,7,45,16,6,49,236,10,1,33,9,1,38,28,0,46,26,1,44,237
5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,
7,32,11,2,36,10,2,63,10,3,67,2,2,240,39,4,1,41,6,1,67,3,4,60,0,10,236
8,26,13,7,21,20,10,66,2,7,51,3,16,242,28,12,10,32,15,8,58,13,10,50,12,9,257
9,37,2,5,43,4,1,63,4,7,61,1,9,237,41,3,1,44,3,1,64,4,6,63,1,6,237
10,28,7,9,29,11,8,49,9,16,44,1,25,236,21,5,17,29,9,10,58,1,17,57,2,12,238
11,2,0,32,2,2,32,5,1,51,10,2,45,184,7,5,32,10,4,34,14,1,59,18,0,52,236
12,30,3,11,38,3,7,53,4,17,50,1,20,237,35,1,8,38,2,8,47,2,25,39,1,30,236
13,15,4,25,13,1,33,18,8,47,11,6,53,234,21,1,22,21,3,24,20,12,42,20,9,41,236
14,2,3,39,4,5,39,13,2,59,15,1,54,236,20,3,21,16,3,29,27,1,46,1,1,39,207
15,37,7,0,36,11,1,67,7,0,61,6,3,236,27,17,1,28,20,1,61,11,2,13,13,3,197
16,29,5,10,24,9,15,34,12,28,38,12,20,236,31,11,5,29,17,6,47,7,20,50,8,12,243
17,39,0,5,46,1,1,63,0,11,60,0,10,236,41,1,2,43,0,5,64,1,9,57,0,13,236
18,32,12,4,39,9,3,48,8,23,47,11,15,251,35,2,7,40,4,4,55,1,18,51,5,15,237
19,28,14,2,37,9,2,64,4,6,59,6,6,237,37,4,5,33,6,10,60,1,13,53,4,13,239
20,21,3,17,26,5,14,37,9,25,32,6,29,224,28,7,9,30,8,10,56,4,17,49,3,19,240
21,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,19,5,20,21,8,19,29,7,40,21,23,27,239
23,14,3,26,26,4,18,42,2,32,43,3,24,237,10,0,7,11,1,8,13,0,16,17,2,10,95
24,18,20,7,19,25,4,48,17,9,39,24,7,237,30,7,9,25,11,13,31,16,27,32,13,25,239
25,,,,,,,,,,,,,,16,7,21,16,10,22,22,9,43,32,6,32,236
26,31,1,12,35,3,11,12,3,59,21,3,48,239,19,5,22,12,3,34,35,3,36,30,1,39,239
27,15,12,17,21,9,18,36,12,27,29,18,24,238,22,10,11,27,13,8,40,13,22,32,12,27,237
28,3,5,35,7,4,37,14,4,56,14,4,52,235,12,9,22,9,7,33,13,11,50,14,11,46,237
29,12,12,19,17,14,17,36,12,26,30,8,33,236,15,9,20,19,11,18,38,4,32,26,13,31,236
30,37,4,3,38,9,1,58,2,16,57,5,9,239,33,7,2,32,11,3,49,6,15,47,5,15,225
31,18,11,15,17,20,12,37,18,21,45,3,23,240,38,3,4,41,7,5,51,12,14,42,16,14,247
32,21,9,14,28,6,14,42,3,29,29,2,39,236,24,5,15,25,4,19,49,1,24,52,4,14,236
33,5,2,37,3,1,44,4,0,70,3,0,67,236,12,3,29,9,1,38,11,2,63,13,1,57,239
34,31,10,3,34,11,3,53,15,7,51,14,5,237,29,10,5,35,11,3,46,8,20,39,12,19,237
35,24,5,16,29,7,13,54,0,20,48,1,22,239,19,7,18,18,4,26,31,2,41,29,5,36,236
36,32,5,7,36,5,7,34,19,23,27,15,28,238,35,7,1,34,7,7,53,9,13,48,6,16,236
37,34,3,8,34,3,11,52,8,17,51,1,20,242,29,8,7,35,7,6,44,6,24,49,7,14,236
38,36,2,6,40,3,5,50,3,21,44,9,17,236,30,2,11,34,6,9,56,9,9,53,8,9,236
39,27,0,17,26,4,18,33,2,39,39,0,32,237,38,0,6,44,1,3,38,2,34,38,8,24,236
